"MyUniID" "NS1" "refCoupNum" "coup1" "coup2" "coup3" "interviewDt" "interviewDt2"
102 30 131132 1311321 1311322 1311323 1231372800 "8/31/09"
103 300 131133 1311331 1311332 1311333 1231372800 "8/31/09"
104 200 132212 1322121 1322122 1322123 1231459200 "9/1/09"
105 250 132211 1322111 1322112 1322113 1231459200 "9/1/09"
106 200 132213 1322131 1322132 1322133 1231459200 "9/1/09"
107 100 2122 21221 21222 21223 1231459200 "9/1/09"
108 80 133231 1332311 1332312 1332313 1231459200 "9/1/09"
109 30 132113 1321131 1321132 1321133 1234137600 "9/2/09"
110 300 132121 1321211 1321212 1321213 1234137600 "9/2/09"
111 150 132122 1321221 1321222 1321223 1234137600 "9/2/09"
112 40 132123 1321231 1321232 1321233 1234137600 "9/2/09"
113 10 132111 1321111 1321112 1321113 1234137600 "9/2/09"
114 200 132112 1321121 1321122 1321123 1234137600 "9/2/09"
115 9 132231 1322311 1322312 1322313 1236556800 "9/3/09"
116 300 132232 1322321 1322322 1322323 1236556800 "9/3/09"
117 50 132233 1322331 1322332 1322333 1236556800 "9/3/09"
118 70 1313131 13131311 13131312 13131313 1236556800 "9/3/09"
119 20 1313132 13131321 13131322 13131323 1236556800 "9/3/09"
120 15 1313133 13131331 13131332 13131333 1236556800 "9/3/09"
121 200 132131 1321311 1321312 1321313 1236556800 "9/3/09"
122 10 132132 1321321 1321322 1321323 1236556800 "9/3/09"
124 100 1313121 13131211 13131212 13131213 1236556800 "9/3/09"
125 100 1313122 13131221 13131222 13131223 1236556800 "9/3/09"
126 30 1313123 13131231 13131232 13131233 1236556800 "9/3/09"
127 50 53 531 532 533 1239235200 "9/4/09"
128 300 52 521 522 523 1239235200 "9/4/09"
129 200 51 511 512 513 1239235200 "9/4/09"
131 40 11232 112321 112322 112323 1252454400 "9/9/09"
132 50 11231 112311 112312 112313 1252454400 "9/9/09"
133 40 11233 112331 112332 112333 1252454400 "9/9/09"
134 150 11222 112221 112222 112223 1255046400 "9/10/09"
135 10 11221 112211 112212 112213 1255046400 "9/10/09"
136 300 11223 112231 112232 112233 1255046400 "9/10/09"
137 250 1313233 13132331 13132332 13132333 1255046400 "9/10/09"
138 200 1313231 13132311 13132312 13132313 1255046400 "9/10/09"
139 50 1313232 13132321 13132322 13132323 1255046400 "9/10/09"
140 50 1313212 13132121 13132122 13132123 1255046400 "9/10/09"
141 250 1313213 13132131 13132132 13132133 1255046400 "9/10/09"
142 25 1313211 13132111 13132112 13132113 1255046400 "9/10/09"
143 20 1313313 13133131 13133132 13133133 1257724800 "9/11/09"
144 30 1313312 13133121 13133122 13133123 1257724800 "9/11/09"
145 150 1313221 13132211 13132212 13132213 1257724800 "9/11/09"
146 80 1313223 13132231 13132232 13132233 1257724800 "9/11/09"
147 20 1313222 13132221 13132222 13132223 1257724800 "9/11/09"
148 50 11121 111211 111212 111213 1257724800 "9/11/09"
149 9 11123 111231 111232 111233 1257724800 "9/11/09"
150 200 521 5211 5212 5213 1257724800 "9/11/09"
151 400 522 5221 5222 5223 1257724800 "9/11/09"
154 150 1333311 13333111 13333112 13333113 -486527718 "9/14/09"
155 200 1333313 13333131 13333132 13333133 -486527718 "9/14/09"
156 60 1333312 13333121 13333122 13333123 -486527718 "9/14/09"
158 30 1333111 13331111 13331112 13331113 -486527718 "9/14/09"
159 300 1333112 13331121 13331122 13331123 -486527718 "9/14/09"
160 10 1333113 13331131 13331132 13331133 -486527718 "9/14/09"
161 20 1313332 13133321 13133322 13133323 -486527718 "9/14/09"
162 40 1313333 13133331 13133332 13133333 -486527718 "9/14/09"
163 30 1313331 13133311 13133312 13133313 -486527718 "9/14/09"
165 50 1313322 13133221 13133222 13133223 -486527718 "9/14/09"
166 400 1313323 13133231 13133232 13133233 -486527718 "9/14/09"
167 35 1333322 13333221 13333222 13333223 2300587289 "9/15/09"
168 50 1333321 13333211 13333212 13333213 2300673689 "10/15/09"
169 15 1333323 13333231 13333232 13333233 2300587289 "9/15/09"
170 30 1333331 13333311 13333312 13333313 2300587289 "9/15/09"
171 100 1333333 13333331 13333332 13333333 2300673689 "10/15/09"
172 20 1333332 13333321 13333322 13333323 2300587289 "9/15/09"
173 500 1333121 13331211 13331212 13331213 2300587289 "9/15/09"
174 75 1333123 13331231 13331232 13331233 2300587289 "9/15/09"
175 500 1333122 13331221 13331222 13331223 2300587289 "9/15/09"
176 30 1333131 13331311 13331312 13331313 1231459200 "9/16/09"
177 200 1333132 13331321 13331322 13331323 1231459200 "9/16/09"
178 30 1333133 13331331 13331332 13331333 1231459200 "9/16/09"
179 100 1332221 13322211 13322212 13322213 1231459200 "9/16/09"
180 999 1332222 13322221 13322222 13322223 1231459200 "9/16/09"
181 30 1332223 13322231 13322232 13322233 1231459200 "9/16/09"
183 3 1332113 13321131 13321132 13321133 2321263488 "9/17/09"
184 30 1332112 13321121 13321122 13321123 2321263488 "9/17/09"
185 60 1332331 13323311 13323312 13323313 2321263488 "9/17/09"
186 50 1332332 13323321 13323322 13323323 2321263488 "9/17/09"
187 100 1332333 13323331 13323332 13323333 2321263488 "9/17/09"
188 80 1332321 13323211 13323212 13323213 2321263488 "9/17/09"
189 2 1332323 13323231 13323232 13323233 2321263488 "9/17/09"
191 50 112321 1123211 1123212 1123213 157717376 "9/18/09"
192 100 112322 1123221 1123222 1123223 157717376 "9/18/09"
193 10 112323 1123231 1123232 1123233 157717376 "9/18/09"
194 150 1323321 13233211 13233212 13233213 2221518465 "9/22/09"
195 120 1323322 13233221 13233222 13233223 2221518465 "9/22/09"
196 100 1323323 13233231 13233232 13233233 2221518465 "9/22/09"
197 30 1311311 13113111 13113112 13113113 1231459236 "9/23/09"
198 200 1311313 13113131 13113132 13113133 1231459236 "9/23/09"
199 500 1311312 13113121 13113122 13113123 1231459236 "9/23/09"
200 60 1323311 13233111 13233112 13233113 1231459236 "9/23/09"
201 100 1323312 13233121 13233122 13233123 1231459236 "9/23/09"
202 50 1323313 13233131 13233132 13233133 1231459236 "9/23/09"
203 300 1323331 13233311 13233312 13233313 1231459236 "9/23/09"
204 100 1323332 13233321 13233322 13233323 1231459236 "9/23/09"
205 40 1323333 13233331 13233332 13233333 1231459236 "9/23/09"
206 300 32 321 322 323 1231459236 "9/23/09"
208 200 322 3221 3222 3223 1231459236 "9/23/09"
209 200 321 3211 3212 3213 1231459236 "9/23/09"
210 200 1322113 13221131 13221132 13221133 1231459203 "9/24/09"
211 500 1322111 13221111 13221112 13221113 1231459203 "9/24/09"
212 25 1322112 13221121 13221122 13221123 1231459203 "9/24/09"
213 20 1322123 13221231 13221232 13221233 1231459203 "9/24/09"
214 20 1322122 13221221 13221222 13221223 1231459203 "9/24/09"
215 100 1322121 13221211 13221212 13221213 1231459203 "9/24/09"
